20160423, 6.2
20160424, 4.6
20160425, 4.9
20160426, 4.8
20160427, 6
20160428, 5.8
20160429, 7.4
20160430, 7.7
20160501, 7.9
20160502, 11.5
20160503, 9.7
20160504, 9.5
20160505, 12.8
20160506, 16.4
20160507, 19.5
20160508, 20.1
20160509, 20.2
20160510, 18.9
20160511, 20.4
20160512, 20.2
20160513, 15.4
20160514, 8.9
20160515, 8.6
20160516, 9.3
20160517, 12.3
20160518, 13.6
20160519, 13.4
20160520, 13.7
20160521, 17.9
20160522, 15.5
20160523, 12
20160524, 11.4
20160525, 11.8
20160526, 13.7
20160527, 16
20160528, 17.6
20160529, 17.2
20160530, 16.2
20160531, 18.2
20160601, 19.2
20160602, 15.3
20160603, 16.4
20160604, 20.1
20160605, 20
20160606, 18.9
20160607, 20.1
20160608, 16.1
20160609, 15.3
20160610, 16.4
20160611, 16.2
20160612, 16.6
20160613, 15.9
20160614, 15.2
20160615, 14.6
20160616, 15.7
20160617, 15.1
20160618, 14.1
20160619, 15.3
20160620, 15.5
20160621, 17
20160622, 20.1
20160623, 22
20160624, 19.2
20160625, 15.4
20160626, 14.9
20160627, 14.9
20160628, 16.7
20160629, 16
20160630, 16.4
20160701, 16.9
20160702, 15.4
20160703, 14.7
20160704, 17
20160705, 15.4
20160706, 14.9
20160707, 16.8
20160708, 17.5
20160709, 19.7
20160710, 21.3
20160711, 18.6
20160712, 16.6
20160713, 14.5
20160714, 14.5
20160715, 16.6
20160716, 19.7
20160717, 19.8
20160718, 20.2
20160719, 22.8
20160720, 25.4
20160721, 21.8
20160722, 21.1
20160723, 21.1
20160724, 20.7
20160725, 18.2
20160726, 18.4
20160727, 17.9
20160728, 19
20160729, 18.3
20160730, 17.7
20160731, 17
20160801, 16.5
20160802, 16.6
20160803, 19
20160804, 17.3
20160805, 17.6
20160806, 16.4
20160807, 18.4
20160808, 17.2
20160809, 14.4
20160810, 12.8
20160811, 13.6
20160812, 18.9
20160813, 17.6
20160814, 17
20160815, 16.1
20160816, 16.3
20160817, 17.2
20160818, 17.7
20160819, 18.1
20160820, 17.8
20160821, 16.7
20160822, 18
20160823, 21
20160824, 22.8
20160825, 24.3
20160826, 22.1
20160827, 21.6
20160828, 20.5
20160829, 17.2
20160830, 16.2
20160831, 17.4
20160901, 17.2
20160902, 16.6
20160903, 18.5
20160904, 17.9
20160905, 17.3
20160906, 17.7
20160907, 18.3
20160908, 19.6
20160909, 16.9
20160910, 18.4
20160911, 18.5
20160912, 20.9
20160913, 23.5
20160914, 23
20160915, 22.6
20160916, 17.4
20160917, 17.3
20160918, 16.7
20160919, 14.4
20160920, 14.5
20160921, 14.7
20160922, 13.8
20160923, 13.6
20160924, 15.2
20160925, 16.3
20160926, 13.5
20160927, 14.5
20160928, 18.7
20160929, 15.9
20160930, 14.5
20161001, 13.5
20161002, 12.1
20161003, 14.5
20161004, 13
20161005, 9.8
20161006, 9.4
20161007, 11.8
20161008, 11
20161009, 7.9
20161010, 7.9
20161011, 8
20161012, 8.9
20161013, 9.1
20161014, 9.9
20161015, 10.7
20161016, 13.3
20161017, 12.1
20161018, 10.2
20161019, 8.8
20161020, 8.5
20161021, 7.6
20161022, 6.7
20161023, 4.8
20161024, 7.1
20161025, 8.7
20161026, 9.5
20161027, 11.8
20161028, 13.1
20161029, 9.6
20161030, 8.7
20161031, 8.5
20161101, 8.1
20161102, 7.2
20161103, 6.7
20161104, 7.6
20161105, 6.9
20161106, 6.1
20161107, 4.2
20161108, 1.9
20161109, 3
20161110, 4
20161111, 1.8
20161112, 2
20161113, 2.7
20161114, 3.1
20161115, 10.8
20161116, 11.9
20161117, 9.3
20161118, 6
20161119, 5.8
20161120, 8.4
20161121, 12
20161122, 11
20161123, 7.9
20161124, 6.6
20161125, 3.3
20161126, -0.1
20161127, 5.6
20161128, -0.3
20161129, -3.1
20161130, 2
20161201, 7.9
20161202, 5.2
20161203, -0.1
20161204, -1.4
20161205, -2.7
20161206, 0.1
20161207, 6.3
20161208, 8.2
20161209, 9.1
20161210, 7.8
20161211, 8.5
20161212, 5.3
20161213, 6.6
20161214, 7.3
20161215, 6.5
20161216, 5.4
20161217, 6.1
20161218, 6.2
20161219, 4.3
20161220, -0.6
20161221, 4.1
20161222, 5.9
20161223, 6
20161224, 7.9
20161225, 10.4
20161226, 8.3
20161227, 6.6
20161228, 1
20161229, -2.2
20161230, -1.1
20161231, 1.8
